"written_rep_a"	"lex_entry_a"	"sense_a"	"trans"	"sense_b"	"lex_entry_b"	"written_rep_b"	"POS"
"humano"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/humano-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/humano_uman-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/humano_uman-adj-es-sense-uman_humano-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/uman_humano-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/uman-adj-an"	"uman"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"humano"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/humano-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/humano_umano-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/humano_umano-adj-es-sense-umano_humano-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/umano_humano-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/umano-adj-an"	"umano"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"público"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/p%C3%BAblico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/p%C3%BAblico_publico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/p%C3%BAblico_publico-adj-es-sense-publico_p%C3%BAblico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/publico_p%C3%BAblico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/publico-adj-an"	"publico"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"externo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/externo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/externo_externo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/externo_externo-adj-es-sense-externo_externo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/externo_externo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/externo-adj-an"	"externo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"jurídico"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/jur%C3%ADdico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/jur%C3%ADdico_churidico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/jur%C3%ADdico_churidico-adj-es-sense-churidico_jur%C3%ADdico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/churidico_jur%C3%ADdico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/churidico-adj-an"	"churidico"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"honorario"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/honorario-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/honorario_honorario-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/honorario_honorario-adj-es-sense-honorario_honorario-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/honorario_honorario-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/honorario-adj-an"	"honorario"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"extraordinario"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/extraordinario-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/extraordinario_extraordinario-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/extraordinario_extraordinario-adj-es-sense-extraordinario_extraordinario-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/extraordinario_extraordinario-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/extraordinario-adj-an"	"extraordinario"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"lingüístico"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ling%C3%BC%C3%ADstico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ling%C3%BC%C3%ADstico_ling%C3%BCistico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ling%C3%BC%C3%ADstico_ling%C3%BCistico-adj-es-sense-ling%C3%BCistico_ling%C3%BC%C3%ADstico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ling%C3%BCistico_ling%C3%BC%C3%ADstico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ling%C3%BCistico-adj-an"	"lingüistico"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"bienvenido"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/bienvenido-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/bienvenido_biemplegato-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/bienvenido_biemplegato-adj-es-sense-biemplegato_bienvenido-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/biemplegato_bienvenido-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/biemplegato-adj-an"	"biemplegato"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"suyo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/suyo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/suyo_suyo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/suyo_suyo-adj-es-sense-suyo_suyo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/suyo_suyo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/suyo-adj-an"	"suyo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"tuyo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/tuyo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tuyo_otuyo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tuyo_otuyo-adj-es-sense-otuyo_tuyo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/otuyo_tuyo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/otuyo-adj-an"	"o tuyo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"nuestro"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/nuestro-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/nuestro_onuestro-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/nuestro_onuestro-adj-es-sense-onuestro_nuestro-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/onuestro_nuestro-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/onuestro-adj-an"	"o nuestro"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"vuestro"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/vuestro-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_obuestro-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_obuestro-adj-es-sense-obuestro_vuestro-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/obuestro_vuestro-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/obuestro-adj-an"	"o buestro"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"vuestro"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/vuestro-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_ovuestro-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_ovuestro-adj-es-sense-ovuestro_vuestro-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ovuestro_vuestro-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ovuestro-adj-an"	"o vuestro"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"sólo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/s%C3%B3lo-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/s%C3%B3lo_s%C3%B3lo-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/s%C3%B3lo_s%C3%B3lo-adv-es-sense-s%C3%B3lo_s%C3%B3lo-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/s%C3%B3lo_s%C3%B3lo-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/s%C3%B3lo-adv-an"	"sólo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"no"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/no-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/no_no-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/no_no-adv-es-sense-no_no-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/no_no-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/no-adv-an"	"no"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"ya"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ya-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ya_ya-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ya_ya-adv-es-sense-ya_ya-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ya_ya-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ya-adv-an"	"ya"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"ahora"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ahora-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ahora_agora-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ahora_agora-adv-es-sense-agora_ahora-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agora_ahora-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/agora-adv-an"	"agora"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"también"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/tambi%C3%A9n-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tambi%C3%A9n_tami%C3%A9n-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tambi%C3%A9n_tami%C3%A9n-adv-es-sense-tami%C3%A9n_tambi%C3%A9n-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tami%C3%A9n_tambi%C3%A9n-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/tami%C3%A9n-adv-an"	"tamién"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"actualmente"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/actualmente-adv-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/actualmente_autualment-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/actualmente_autualment-adv-es-sense-autualment_actualmente-adv-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/autualment_actualmente-adv-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/autualment-adv-an"	"autualment"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"lengua"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/lengua-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/lengua_luenga-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/lengua_luenga-n-es-sense-luenga_lengua-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/luenga_lengua-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/luenga-n-an"	"luenga"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"superficie"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/superficie-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/superficie_superficie-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/superficie_superficie-n-es-sense-superficie_superficie-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/superficie_superficie-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/superficie-n-an"	"superficie"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"abrupto"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/abrupto-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/abrupto_abrupto-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/abrupto_abrupto-adj-es-sense-abrupto_abrupto-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/abrupto_abrupto-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/abrupto-adj-an"	"abrupto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"absoluto"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/absoluto-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/absoluto_absoluto-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/absoluto_absoluto-adj-es-sense-absoluto_absoluto-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/absoluto_absoluto-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/absoluto-adj-an"	"absoluto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"abstracto"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/abstracto-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/abstracto_abstracto-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/abstracto_abstracto-adj-es-sense-abstracto_abstracto-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/abstracto_abstracto-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/abstracto-adj-an"	"abstracto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"absurdo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/absurdo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/absurdo_absurdo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/absurdo_absurdo-adj-es-sense-absurdo_absurdo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/absurdo_absurdo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/absurdo-adj-an"	"absurdo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"académico"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acad%C3%A9mico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acad%C3%A9mico_acad%C3%A9mico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acad%C3%A9mico_acad%C3%A9mico-adj-es-sense-acad%C3%A9mico_acad%C3%A9mico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acad%C3%A9mico_acad%C3%A9mico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/acad%C3%A9mico-adj-an"	"académico"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"acuífero"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acu%C3%ADfero-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acu%C3%ADfero_acu%C3%ADfero-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acu%C3%ADfero_acu%C3%ADfero-adj-es-sense-acu%C3%ADfero_acu%C3%ADfero-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acu%C3%ADfero_acu%C3%ADfero-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/acu%C3%ADfero-adj-an"	"acuífero"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"adecuado"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/adecuado-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adecuado_adecuado-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adecuado_adecuado-adj-es-sense-adecuado_adecuado-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adecuado_adecuado-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/adecuado-adj-an"	"adecuado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"adepto"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/adepto-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adepto_adepto-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adepto_adepto-adj-es-sense-adepto_adepto-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adepto_adepto-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/adepto-adj-an"	"adepto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"adoptivo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/adoptivo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adoptivo_adoptivo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adoptivo_adoptivo-adj-es-sense-adoptivo_adoptivo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adoptivo_adoptivo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/adoptivo-adj-an"	"adoptivo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"adquisitivo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/adquisitivo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adquisitivo_adquisitivo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adquisitivo_adquisitivo-adj-es-sense-adquisitivo_adquisitivo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/adquisitivo_adquisitivo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/adquisitivo-adj-an"	"adquisitivo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"aéreo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/a%C3%A9reo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/a%C3%A9reo_a%C3%A9reo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/a%C3%A9reo_a%C3%A9reo-adj-es-sense-a%C3%A9reo_a%C3%A9reo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/a%C3%A9reo_a%C3%A9reo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/a%C3%A9reo-adj-an"	"aéreo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"afamado"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afamado-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afamado_afamado-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afamado_afamado-adj-es-sense-afamado_afamado-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afamado_afamado-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/afamado-adj-an"	"afamado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"afectuoso"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afectuoso-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afectuoso_afectuoso-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afectuoso_afectuoso-adj-es-sense-afectuoso_afectuoso-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afectuoso_afectuoso-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/afectuoso-adj-an"	"afectuoso"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"afgano"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afgano-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afgano_afgano-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afgano_afgano-adj-es-sense-afgano_afgano-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afgano_afgano-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/afgano-adj-an"	"afgano"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"aficionado"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/aficionado-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/aficionado_aficionado-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/aficionado_aficionado-adj-es-sense-aficionado_aficionado-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/aficionado_aficionado-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/aficionado-adj-an"	"aficionado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"afirmativo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afirmativo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afirmativo_afirmativo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afirmativo_afirmativo-adj-es-sense-afirmativo_afirmativo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afirmativo_afirmativo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/afirmativo-adj-an"	"afirmativo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"afortunado"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afortunado-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afortunado_afortunado-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afortunado_afortunado-adj-es-sense-afortunado_afortunado-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/afortunado_afortunado-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/afortunado-adj-an"	"afortunado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"africado"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/africado-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/africado_africado-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/africado_africado-adj-es-sense-africado_africado-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/africado_africado-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/africado-adj-an"	"africado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"agónico"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ag%C3%B3nico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ag%C3%B3nico_ag%C3%B3nico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ag%C3%B3nico_ag%C3%B3nico-adj-es-sense-ag%C3%B3nico_ag%C3%B3nico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ag%C3%B3nico_ag%C3%B3nico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ag%C3%B3nico-adj-an"	"agónico"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"agroalimentario"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/agroalimentario-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agroalimentario_agroalimentario-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agroalimentario_agroalimentario-adj-es-sense-agroalimentario_agroalimentario-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agroalimentario_agroalimentario-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/agroalimentario-adj-an"	"agroalimentario"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"agudo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/agudo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agudo_agudo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agudo_agudo-adj-es-sense-agudo_agudo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/agudo_agudo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/agudo-adj-an"	"agudo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"alfabético"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alfab%C3%A9tico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/alfab%C3%A9tico_alfab%C3%A9tico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/alfab%C3%A9tico_alfab%C3%A9tico-adj-es-sense-alfab%C3%A9tico_alfab%C3%A9tico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/alfab%C3%A9tico_alfab%C3%A9tico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/alfab%C3%A9tico-adj-an"	"alfabético"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"alimentario"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alimentario-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/alimentario_alimentario-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/alimentario_alimentario-adj-es-sense-alimentario_alimentario-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/alimentario_alimentario-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/alimentario-adj-an"	"alimentario"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
